Points:0,Exx,Eyy,Ezz,Exy,Eyz,Exz,Stress-xx,Stress-yy,Stress-zz,Stress-xy,Stress-yz,Stress-xz
1696.4,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.5,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.5,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.6,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.7,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.7,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.8,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.8,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1696.9,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1697,-0.00224372,0.00207368,0.00066297,-0.000000504,7.72522E-06,0.00062069,0.060219,102.76,99.54,7.3828,-0.0010443,0.016256
1697,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.1,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.1,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.2,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.3,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
1697.3,-0.00224082,0.00207111,0.00066288,-2.88677E-07,4.43676E-06,0.00061991,0.12457,103.27,99.091,7.4148,-0.00069287,0.010918
